event_id,event_name,event_type,event_year,GEOID,claim_count,building_payments,contents_payments,icc_payments,total_claim_payments,average_payment_per_claim
harvey-2017,Hurricane Harvey,Hurricane,2017,48339693900,6.0,157454.21,38963.23,0.0,196417.44,32736.24
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694000,3.0,59236.72,4604.02,0.0,63840.74,21280.25
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694101,1.0,15623.98,0.0,0.0,15623.98,15623.98
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694102,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694201,37.0,2355367.33,848223.88,0.0,3203591.21,86583.55
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694202,44.312,2055340.54,455455.49,0.0,2510796.03,56661.9
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694301,139.0,7150591.63,1772938.95,0.0,8923530.58,64198.06
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694302,55.688,1471702.53,460332.75,0.0,1932035.28,34693.86
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694400,24.0,1993992.56,403854.26,0.0,2397846.82,99910.28
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694500,30.002,2556631.58,718375.49,0.0,3275007.07,109158.51
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694600,7.0,632269.21,246501.79,0.0,878771.0,125538.71
harvey-2017,Hurricane Harvey,Hurricane,2017,48339694700,8.0,194420.73,102652.76,0.0,297073.49,37134.19
harvey-2017,Hurricane Harvey,Hurricane,2017,48347950502,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48351950100,5.0,176272.55,64365.59,0.0,240638.14,48127.63
harvey-2017,Hurricane Harvey,Hurricane,2017,48351950200,26.0,1356373.33,252482.08,30000.0,1638855.41,63032.9
harvey-2017,Hurricane Harvey,Hurricane,2017,48351950300,36.0,1371339.87,289468.08,0.0,1660807.95,46133.55
harvey-2017,Hurricane Harvey,Hurricane,2017,48351950400,184.0,9589792.53,2767645.07,85472.0,12442909.6,67624.51
harvey-2017,Hurricane Harvey,Hurricane,2017,48355000700,1.995,2.94,0.86,0.0,3.8,1.91
harvey-2017,Hurricane Harvey,Hurricane,2017,48355000800,5.99,31.38,0.0,0.0,31.38,5.24
harvey-2017,Hurricane Harvey,Hurricane,2017,48355000900,1.0,8459.77,0.0,0.0,8459.77,8459.77
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001200,8.075,6565.48,0.0,0.0,6565.48,813.09
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001400,5.925,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001500,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001601,1.999,638.1,0.0,0.0,638.1,319.21
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001701,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001801,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355001902,2.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002002,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002101,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002102,6.0,0.0,7333.16,0.0,7333.16,1222.19
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002200,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002301,1.0,14739.15,0.0,0.0,14739.15,14739.15
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002400,3.0,58254.59,38369.86,0.0,96624.45,32208.15
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002500,7.0,65578.29,0.0,0.0,65578.29,9368.33
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002601,6.086,47251.79,0.0,0.0,47251.79,7763.7
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002602,2.018,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002603,1.0,0.0,0.0,0.0,0.0,0.0
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002703,3.977,5390.82,0.0,0.0,5390.82,1355.66
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002704,9.957,71659.86,0.0,0.0,71659.86,7196.65
harvey-2017,Hurricane Harvey,Hurricane,2017,48355002705,8.914,41678.97,0.0,0.0,41678.97,4675.8
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003001,19.0,0.1,0.02,0.0,0.12,0.01
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003002,9.0,58840.87,14290.24,0.0,73131.11,8125.74
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003101,7.0,253273.27,56444.16,0.0,309717.43,44245.35
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003102,5.0,139290.67,0.0,0.0,139290.67,27858.13
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003202,5.043,14407.62,0.09,0.0,14407.71,2857.17
harvey-2017,Hurricane Harvey,Hurricane,2017,48355003203,2.025,34.21,370.91,0.0,405.12,200.04
